,"fullvarname","CMIP6_table","shortname"
"1","daily-near_surface_specific_humidity","day","huss"
"2","daily-precipitation","day","pr"
"3","daily-sea_level_pressure","day","psl"
"4","daily-near_surface_wind_speed","day","sfcWind"
"5","daily-near_surface_air_temperature","day","tas"
"6","daily-daily_minimum_near_surface_air_temperature","day","tasmin"
"7","daily-daily_maximum_near_surface_air_temperature","day","tasmax"
"8","fixed-percentage_of_the_grid_cell_occupied_by_land_including_lakes","fx","sftlf"
"9","fixed-surface_altitude","fx","orog"
"10","fixed-land_ice_area_percentage","fx","sftgif"
"11","fixed-grid_cell_area_for_atmospheric_grid_variables","fx","areacella"
"12","fixed-sea_area_percentage","Ofx","sftof"
"13","fixed-grid_cell_area_for_ocean_variables","Ofx","areacello"
"14","fixed-sea_floor_depth_below_geoid","Ofx","deptho"
"15","fixed-capacity_of_soil_to_store_water","fx","mrsofc"
"16","monthly-moisture_in_upper_portion_of_soil_column","Emon","mrsosLut"
"17","monthly-snow_depth","LImon","snd"
"18","monthly-total_runoff","Emon","mrroLut"
"19","monthly-total_cloud_cover_percentage","Amon","clt"
"20","monthly-evaporation_including_sublimation_and_transpiration","Amon","evspsbl"
"21","monthly-surface_upward_latent_heat_flux","Amon","hfls"
"22","monthly-surface_upward_sensible_heat_flux","Amon","hfss"
"23","monthly-near_surface_specific_humidity","Amon","huss"
"24","monthly-precipitation","Amon","pr"
"25","monthly-surface_air_pressure","Amon","ps"
"26","monthly-sea_level_pressure","Amon","psl"
"27","monthly-surface_downwelling_longwave_radiation","Amon","rlds"
"28","monthly-surface_upwelling_longwave_radiation","Amon","rlus"
"29","monthly-toa_outgoing_longwave_radiation","Amon","rlut"
"30","monthly-surface_downwelling_shortwave_radiation","Amon","rsds"
"31","monthly-toa_incident_shortwave_radiation","Amon","rsdt"
"32","monthly-surface_upwelling_shortwave_radiation","Amon","rsus"
"33","monthly-toa_outgoing_shortwave_radiation","Amon","rsut"
"34","monthly-near_surface_wind_speed","Amon","sfcWind"
"35","monthly-near_surface_air_temperature","Amon","tas"
"36","monthly-surface_downward_eastward_wind_stress","Amon","tauu"
"37","monthly-surface_downward_northward_wind_stress","Amon","tauv"
"38","monthly-surface_temperature","Amon","ts"
"39","monthly-surface_snow_amount","LImon","snw"
"40","monthly-snowfall_flux","Amon","prsn"
"41","monthly-daily_maximum_near_surface_air_temperature","Amon","tasmax"
"42","monthly-daily_minimum_near_surface_air_temperature","Amon","tasmin"
"43","monthly-eastward_near_surface_wind","Amon","vas"
"44","monthly-northward_near_surface_wind","Amon","uas"
"45","monthly-sea_surface_temperature","Omon","tos"
"46","monthly-sea_surface_height_above_geoid","Omon","zos"
"47","monthly-sea_ice_area_percentage_on_ocean_grid","SImon","siconc"
"48","monthly-sea_surface_salinity","Omon","sos"
"49","monthly-sea_ice_mass_per_area","SImon","simass"
"50","monthly-sea_ice_thickness","SImon","sirdgthick"
"51","monthly-surface_temperature_of_sea_ice","SImon","sitemptop"
"52","monthly-near_surface_relative_humidity","Amon","hurs"
